iata,airline,country_region
0C,IBL Aviation,Mauritius
C3,Independent Carrier (ICAR),Ukraine
1F,INFINI Travel Information,Japan
1U,ITA Software,United States
IB,Iberia Airlines,Spain
I2,Iberia Express,Spain
TY,Iberworld,Spain
FW,Ibex Airlines,Japan
D8,Norwegian Air International (Norway),Norway
FI,Icelandair,Iceland
V8,Iliamna Air Taxi,United States
DH,Independence Air,United States
6E,IndiGo Airlines,India
IC,Indian Airlines,India
I9,Indigo Airlines,United States
QZ,Indonesia AirAsia,Indonesia
IO,Indonesian Airlines,Indonesia
C4,Zimex Aviation,Switzerland
H4,Inter Island Airways,Cape Verde
D6,Interair South Africa,South Africa
ZA,Interavia Airlines,Russia
RS,Intercontinental de Aviación,Colombia
4O,Interjet,Mexico
ID,Interlink Airlines,South Africa
6I,International Business Air,Sweden
3L,Intersky,Austria
I4,Interstate Airlines,Netherlands
IR,Iran Air,Iran
EP,Iran Aseman Airlines,Iran
IA,Iraqi Airways,Iraq
IH,Irtysh Air,Kazakhstan
2S,Island Express,United States
CN,Islands Nationair,Papua New Guinea
IF,Islas Airways,Spain
WC,Islena De Inversiones,Honduras
6H,Israir,Israel
FS,Itali Airlines,Italy
GI,Itek Air,Kyrgyzstan
H9,Izair,Turkey
HC,Iceland Express,Iceland
XM,J-Air,Japan
JC,JAL Express,Japan
JO,JALways,Japan
MT,JMC Airlines,United Kingdom
1M,JSC Transport Automated Information Systems,Russia
JI,Jade Cargo International,China
3X,Japan Air Commuter,Japan
JL,Japan Airlines,Japan
JL,Japan Airlines Domestic,Japan
EG,Japan Asia Airways,Japan
NU,Japan Transocean Air,Japan
JA,JetSMART,Chile
VJ,Jatayu Airlines,Indonesia
J9,Jazeera Airways,Kuwait
7C,Jeju Air,Republic of Korea
O2,OLT Express,Poland
9W,Jet Airways,India
QJ,Jet Airways,United States
PP,Jet Aviation,Switzerland
3K,Jetstar Asia Airways,Singapore
LS,Jet2.com,United Kingdom
B6,JetBlue Airways,United States
JF,Jet Asia Airways,Thailand
0J,Jetclub,Switzerland
SG,JetsGo,Canada
JQ,Jetstar Airways,Australia
GK,Jetstar Japan,Japan
JM,Jetstar Hong Kong Airways,China
JX,Jett8 Airlines Cargo,Singapore
JO,Jettime,Denmark
GX,JetX Airlines,Iceland
R5,Jordan Aviation,Jordan
J4,Jordan International Air Cargo,Jordan
6J,Jubba Airways,Somalia
HO,Juneyao Airlines,China
3Q,KC International Airlines,Cambodia
KW,Kharkiv Airlines,Ukraine
KD,Kalstar Aviation,Indonesia
KD,KD Avia,Russia
WA,KLM Cityhopper,Netherlands
KL,KLM,Netherlands
N2,Kabo Air,Nigeria
K4,Kalitta Air,United States
K9,Kalitta Charters,United States
CB*,Kalitta Charters II,United States
RQ,Kam Air,Afghanistan
E2,Kampuchea Airlines,Cambodia
V2,Karat,Russia
KV,Kavminvodyavia,Russia
KC,Air Astana,Kazakhstan
M5,Kenmore Air,United States
KQ,Kenya Airways,Kenya
BZ,Keystone Air Service,Canada
K6,Khalifa Airways,Algeria
IT,Kingfisher Airlines,India
Y9,Kish Air,Iran
KP,Kiwi International Air Lines,United States
7K,Kogalymavia Air Company,Russia
8J,Komiinteravia,Russia
KE,Korean Air,South Korea
7B,Krasnojarsky Airlines,Russia
K9,Krylo Airlines,Russia
GW,Kuban Airlines,Russia
VD,Kunpeng Airlines,China
KU,Kuwait Airways,Kuwait
GO,Kuzu Airlines Cargo,Turkey
N5,Kyrgyz Airlines,Kyrgyzstan
QH,Kyrgyzstan,Kyrgyzstan
R8,Kyrgyzstan Airlines,Kyrgyzstan
FK,Keewatin Air,Canada
YQ,TAR Aerolineas,Mexico
JF,L.A.B. Flying Service,United States
LR,LACSA,Costa Rica
KG,LAI - Línea Aérea IAACA,Venezuela
LA,LATAM Chile,Chile
4M,LATAM Argentina,Argentina
UC,LATAM Cargo Chile,Chile
PZ,LATAM Paraguay,Paraguay
LU,LATAM Express,Chile
LP,LATAM Peru,Peru
NI,LANICA,Nicaragua
L5,Línea Aérea Cuencana,Ecuador
LO,LOT Polish Airlines,Poland
XO,LTE International Airways,Spain
L3,LTU Austria,Austria
LT,LTU International,Germany
N6,Lagun Air,Spain
IK,Lankair,Sri Lanka
QL,Lankan Cargo,Sri Lanka
QV,Lao Airlines,Lao People's Democratic Republic
L7,Laoag International Airlines,Philippines
NG,Lauda Air,Austria
OE[31],LaudaMotion,Austria
LQ,Lebanese Air Transport,Lebanon
LI,Leeward Islands Air Transport,Antigua and Barbuda
LV,Level,Spain and France
LN,Libyan Arab Airlines,Libya
L7,Línea Aérea SAPSA,Chile
QL,Línea Aérea de Servicio Ejecutivo Regional,Venezuela
ZE,Líneas Aéreas Azteca,Mexico
TM,Linhas Aéreas de Moçambique,Mozambique
JT,Lion Air,Indonesia
LM,Livingston Energy Flight,Italy
LB,Lloyd Aéreo Boliviano,Bolivia
LM,Loganair,United Kingdom
LH,Lufthansa,Germany
LH,Lufthansa Cargo,Germany
CL,Lufthansa CityLine,Germany
L1,Lufthansa Systems,Germany
L5,Lufttransport,Norway
LG,Luxair,Luxembourg
5V,Lviv Airlines,Ukraine
L2,Lynden Air Cargo,United States
L4,Lynx Aviation,United States
Z8,Línea Aérea Amaszonas,Bolivia
MJ,Líneas Aéreas Privadas Argentinas,Argentina
LT,LongJiang Airlines,China
LJ,Jin Air,South Korea
Q2,Maldivian (airline),Maldives
WD,Modern Transporte Aereo De Carga,Brazil
OD,Malindo Airways,Malaysia
AQ,MAP-Management and Planung,Austria
M7,MasAir,Mexico
MH,MASwings,Malaysia
IN,MAT Macedonian Airlines,Macedonia
OM,MIAT Mongolian Airlines,Mongolia
MB,MNG Airlines,Turkey
CC,Macair Airlines,Australia
DM,Maersk,Denmark
W5,Mahan Air,Iran
M2,Mahfooz Aviation,Gambia
MH,Malaysia Airlines,Malaysia
DB,Maleth-Aero,Malta
TF,Malmö Aviation,Sweden
R5,Malta Air Charter,Malta
MA,Malév Hungarian Airlines,Hungary
RI,Mandala Airlines,Indonesia
AE,Mandarin Airlines,Taiwan
JE,Mango,South Africa
6V,Mars RK,Ukraine
M7,Marsland Aviation,Sudan
MP,Martinair,Netherlands
Q4,Mastertop Linhas Aéreas,Brazil
H5,Mavial Magadan Airlines,Russia
8M,Maxair,Sweden
MY,Maxjet Airways,United States
MW,Maya Island Air,Belize
7M,Mayair,Mexico
M8,Mekong Airlines,Cambodia
IM,Menajet,Lebanon
IG,Meridiana,Italy
MZ,Merpati Nusantara Airlines,Indonesia
YV,Mesa Airlines,United States
XJ,Mesaba Airlines,United States
MX,Mexicana de Aviación,Mexico
LL,Miami Air International,United States
ME,Middle East Airlines,Lebanon
JI,Midway Airlines (1993–2003),United States
ML,Midway Airlines (1976–1991),United States
YX,Midwest Airlines,United States
MY,Midwest Airlines (Egypt),Egypt
MJ,Mihin Lanka,Sri Lanka
M4,Mistral Air,Italy
MW,Mokulele Airlines,United States
2M,Moldavian Airlines,Moldova
ZB,Monarch Airlines,United Kingdom
8I,Myway Airlines,Italy
YM,Montenegro Airlines,Montenegro
5M,Montserrat Airways,Montserrat
3R,Moskovia Airlines,Russia
M9,Motor Sich,Ukraine
NM,Mount Cook Airline,New Zealand
N4,Mountain Air Company,Sierra Leone
VZ,MyTravel Airways,United Kingdom
UB,Myanma Airways,Myanmar
8M,Myanmar Airways International,Myanmar
M2,MHS Aviation GmbH,Germany
6N,Niger Airlines,Niger
N5,Fly Easy,India
DV,Nantucket Airlines,United States
P9,Nas Air,Mali
UE,Nasair,Eritrea
N4,National Airlines,Chile
N7,National Airlines,United States
N8,National Air Cargo dba National Airlines,United States
IN,NAM Air,Indonesia
9O,National Airways Cameroon,Cameroon
NC,National Jet Systems,Australia
CE,Nationwide Airlines,South Africa
1N,Navitaire,United States
RA,Nepal Airlines,Nepal
NO,Neos,Italy
1I,NetJets,United States
EJ,New England Airlines,United States
2N,NextJet,Sweden
HG,Niki,Austria
KZ,Nippon Cargo Airlines,Japan
DD,Nok Air,Thailand
XW,NokScoot,Thailand
5N,Nordavia,Russia
JH,Nordeste Linhas Aéreas Regionais,Brazil
6N,Nordic Regional,Sweden
Y7,NordStar,Russia
N4,Nordwind Airlines,Russia
N5,Norfolk Air,Norfolk Island
N9,North Coast Aviation,Papua New Guinea
M3,North Flying,Denmark
HW,North-Wright Airways,Canada
NC,Northern Air Cargo,United States
U7,Northern Dene Airways,Canada
NW,Northwest Airlines,United States
FY,Northwest Regional Airlines,Australia
J3,Northwestern Air,Canada
DY,Norwegian Air Shuttle,Norway
DI,Norwegian Air UK,United Kingdom
DN,Norwegian Air Argentina,Argentina
D8,Norwegian Air International,Ireland
DU,Norwegian Long Haul,Norway
DH,Norwegian Air Norway,Norway
LE,Norwegian Air Sweden,Sweden
BJ,Nouvel Air Tunisie,Tunisia
O9,Nova Airline,Sudan
1I,Novair,Sweden
VQ,Novo Air,Bangladesh
N6,Nuevo Continente,Peru
1I,NetJets Europe,Portugal
NK,Spirit Airlines,United States
IP,One Airlines,Chile
UQ,O'Connor Airlines,Australia
O8,Oasis Hong Kong Airlines,Hong Kong
VC,Ocean Airlines,Italy
O6,Avianca Brazil,Brazil
O2,Linear Air,United States
OA,Olympic Air,Greece
WY,Oman Air,Oman
OV,SalamAir,Oman
OE,Laudamotion,Austria
OY,Omni Air International,United States
8Q,Onur Air,Turkey
R2,Orenburg Airlines,Russia
OX,Orient Thai Airlines,Thailand
QO,Origin Pacific Airways,New Zealand
OL,OLT Express Germany,Germany
ON,Our Airline,Nauru
OJ,Overland Airways,Nigeria
OZ,Ozark Air Lines,United States
O7,Ozjet Airlines,Australia
OA,Olympic Airlines,Greece
OB,Oasis International Airlines Now assigned to Boliviana de Aviacion (BoA),Spain
OK,Czech Airlines,Czech Republic
PV,PAN Air,Spain
9Q,PB Air,Thailand
PU,PLUNA,Uruguay
U4,PMTair,Cambodia
OH,PSA Airlines,United States
Y5,Pace Airlines,United States
BL,Pacific Airlines,Vietnam
DJ,Pacific Blue,New Zealand
8P,Pacific Coastal Airlines,Canada
Q8,Pacific East Asia Cargo Airlines,Philippines
LW,Pacific Wings,United States
GX,Pacificair,Philippines
PK,Pakistan International Airlines,Pakistan
GP,Palau Trans Pacific Airlines,Palau
PF,Palestinian Airlines,Egypt
NR,Pamir Airways,Afghanistan
7N,PAWA Dominicana,Dominican Republic
PN,Pan American Airways,United States
PA,Pan American Airways,United States
PA,Pan American World Airways,United States
P8,Pantanal Linhas Aéreas,Brazil
I7,Paramount Airways,India
P3,Passaredo Transportes Aéreos,Brazil
HP,Pearl Airways,Haiti
PC,Pegasus Airlines,Turkey
PE,People's,Austria
1I,Pegasus Hava Tasimaciligi,Turkey
KS,Peninsula Airways,United States
P9,Perm Airlines,Russia
P9,Peruvian Airlines,Peru
Z2,Philippines AirAsia,Philippines
PR,Philippine Airlines,Philippines
HP,Phoenix Airways,Switzerland
9R,Phuket Air,Thailand
PI,Piedmont Airlines (1948-1989),United States
9E,Pinnacle Airlines,United States
PO,Polar Air Cargo,United States
PH,Polynesian Airlines,Samoa
DJ,Polynesian Blue,New Zealand
1U,Polyot Sirena,Russia
PD,Porter Airlines,Canada
NI,Portugalia,Portugal
M4,Poste Air Cargo,Italy
BK,Potomac Air,United States
PW,Precision Air,Tanzania
TO,President Airlines,Cambodia
FE,Primaris Airlines,United States
8Q,Princess Air,
8W,Private Wings Flugcharter,Germany
P6,Privilege Style Líneas Aéreas,Spain
P0,Proflight Zambia,Zambia
FV,Pulkovo Aviation Enterprise,Russia
QF,Qantas,Australia
QF,QantasLink,Australia
QF,QantasLink,Australia
QR,Qatar Airways,Qatar
RX,Regent Airways,Bangladesh
R6,RACSA,Guatemala
1D,Radixx,United States
8L,Redhill Aviation,United Kingdom
V4,Reem Air,Kyrgyzstan
FN,Regional Air Lines,Morocco
ZL,Regional Express,Australia
P7,Regional Paraguaya,Paraguay
3C,RegionsAir,United States
QQ,Reno Air,United States
RW,Republic Airlines,United States
RH,Republic Express Airlines,Indonesia
C7,Rico Linhas Aéreas,Brazil
E2,Rio Grande Air,United States
RL,Rio Linhas Aéreas,Brazil
SL,Rio Sul Serviços Aéreos Regionais,Brazil
V2,Vision Airlines,United States
FV,Rossiya,Russia
GZ,Air Rarotonga,Cook Islands
RR,Royal Air Force,United Kingdom
RS,Royal Air Force of Oman,Oman
AT,Royal Air Maroc,Morocco
R0,Royal Airlines,Pakistan
V5,Royal Aruban Airlines,Aruba
BI,Royal Brunei Airlines,Brunei
RJ,Royal Jordanian,Jordan
RK,Skyview Airways,THAILAND
RK,Royal Khmer Airlines,Cambodia
RL,Royal Phnom Penh Airways,Cambodia
RR,Buzz (Ryanair),Poland
WR,Royal Tongan Airlines,Tonga
P7,Russian Sky Airlines,Russia
WB,Rwandair Express,Rwanda
7S,Ryan Air Services,United States
RD,Ryan International Airlines,United States
FR,Ryanair,Ireland
YS,Régional Compagnie Aérienne Européenne,France
RT,UVT Aero,Russia
SS,Corsairfly,France
TR,Scoot,Singapore
IJ,Spring Airlines Japan,Japan
6Y,Smartlynx Airlines,Latvia
QS,Smartwings,Czech Republic
E3,Sabaidee Airways,Thailand
GG,Sky Lease Cargo,United States
GW,SkyGreece Airlines,Greece
SH,Sharp Airlines,Australia
N9,Shree Airlines,Nepal
7E,Sylt Air GmbH,Germany
OL,Samoa Air,Samoa
S4,SATA International,Portugal
SA,South African Airways,South Africa
KV,Sky Regional Airlines,Canada
W7,Sayakhat Airlines,Kazakhstan
NL,Shaheen Air,Pakistan
MM,SAM Colombia,Colombia
SK,Scandinavian Airlines,"Sweden, Denmark and Norway"
PI,Sol del Paraguay,Paraguay
UG,SevenAir,United States
S7,S7 Airlines,Russia
Q7,SkyBahamas,Bahamas
BB,Seaborne Airlines,United States
PV,St Barth Commuter,France
JX,Starlux Airlines,Taiwan
K5,SeaPort Airlines,United States
W3,Switfair Cargo,Canada
FP,Servicios Aéreos de los Andes,Peru
UL,SriLankan Airlines,Sri Lanka
SY,Sun Country Airlines,United States
SG,Spicejet,India
I6,Sky Eyes,Thailand
EH,SAETA,Ecuador
7G,Star Flyer,Japan
FA,Safair,South Africa
N5,Skagway Air Service,United States
HZ,Sakhalinskie Aviatrassy (SAT),Russia
SP,SATA Air Acores,Portugal
8S,Scorpio Aviation,
ZY,Sky Airlines,Turkey
SQ,Singapore Airlines,Singapore
5M,Sibaviatrans,Russia
SI,Skynet Airlines,Ireland
XS,SITA,Belgium
ZS,Sama Airlines,Saudi Arabia
SQ,Singapore Airlines Cargo,Singapore
FT,Siem Reap Airways,Cambodia
SX,Sky Work Airlines,Switzerland
SM,Swedline Express,Sweden
S6,Star Air,Denmark
D2,Severstal Air Company,Russia
VD,SwedJet Airways,Sweden
QF,Sunstate Airlines,Australia
5G,Skyservice Airlines,Canada
RE,Stobart Air,Ireland
FS,Servicios de Transportes Aéreos Fueguinos,Argentina
SD,Sudan Airways,Sudan
PI,Sun Air (Fiji),Fiji
LW,Sun Air International,United States
EZ,Sun Air of Scandinavia,Denmark
SV,Saudia,Saudi Arabia
WN,Southwest Airlines,United States
A4,Southern Winds Airlines,Argentina
WG,Sunwing Airlines,Canada
WQ,Swift Air (Interstate Equipment Leasing),United States
LX,Swiss International Air Lines,Switzerland
SR,Swissair,Switzerland
SR,Sundair,Germany
LZ[49],Swiss Global Air Lines,Switzerland
WV,Swe Fly,Sweden
S8,Shovkoviy Shlyah,Ukraine
Q4,Swazi Express Airways,Swaziland
WO,Swoop,Canada
S8,Skywise Airline,South Africa
XQ,SunExpress,Turkey
RB,Syrian Arab Airlines,Syrian Arab Republic
AL,Skywalk Airlines,United States
ZP,Silk Way Airlines,Azerbaijan
7L,Silk Way West Airlines,Azerbaijan
E5,Samara Airlines,Russia
E5,Air Arabia Egypt,Egypt
SC,Shandong Airlines,China
SK,SAS Braathens,Norway
9C,Spring Airlines,China
3U,Sichuan Airlines,China
FM,Shanghai Airlines,China
ZH,Shenzhen Airlines,China
8C,Shanxi Airlines,China
7L,Sun D'Or,Israel
NE,SkyEurope,Slovakia
CQ,Sunshine Express Airlines,Australia
SO,Superior Aviation,United States
TE,Skytaxi,Poland
JK,Spanair,Spain
RZ*,Sansa,Costa Rica
2G*,San Juan Airlines,United States
1Z,Sabre Pacific,Australia
1S,Sabre,United States
1I,Sierra Nevada Airlines,United States
1H,Siren-Travel,Russia
1Q,Sirena,Russia
1K,Southern Cross Distribution,Australia
1K,Sutra,United States
2C,SNCF,France
2S,Star Equatorial Airlines,Guinea
NK,Spirit Airlines,United States
S0,Slok Air Gambia,Gambia
SO,Sosoliso Airlines,Nigeria
VA,Virgin Australia Regional Airlines,Australia
1I,Sky Trek International Airlines,United States
SX,Skybus Airlines,United States
RU,SkyKing Turks and Caicos Airways,Turks and Caicos Islands
S3,Santa Barbara Airlines,Venezuela
XT,SkyStar Airways,Thailand
H2,Sky Airline,Chile
OO,SkyWest Airlines,United States
JZ,Skyways Express,Sweden
BC,Skymark Airlines,Japan
LJ,Sierra National Airlines,Sierra Leone
MI,SilkAir,Singapore
6Q,Slovak Airlines,Slovakia
PY,Surinam Airways,Suriname
8D,Servant Air,United States
NB,Sterling Airlines,Denmark
6J,Skynet Asia Airways,Japan
IE,Solomon Airlines,Solomon Islands
6W,Saratov Airlines Joint Stock Company,Russia
HZ,Sat Airlines,Kazakhstan
S5,Shuttle America,United States
DV,Scat Air,Kazakhstan
R1,Sirin,
S6,Star Air,Denmark
Q4,Starlink Aviation,Canada
V9,Star1 Airlines,Lithuania
SO,Sunshine Airlines,
O3,SF Airlines,China
5P,Small Planet Airlines,Germany
XG,Sunexpress Deutschland,Germany
PQ,SkyUp,Ukraine
LS,Jet2,United Kingdom
TXZ,EXPRESS AIR,2014[51]
WE,Thai Smile Airways,Thailand
VZ,Thai Vietjet Air,Thailand
XJ,Thai AirAsia X,Thailand
SL,Thai Lion Mentari,Thailand
EQ,TAME,Ecuador
JJ,LATAM Brasil,Brazil
TP,TAP Portugal,Portugal
TU,Tunisair,Tunisia
3V,TNT Airways,Belgium
TR,Transbrasil,Brazil
M7,Tropical Airways,Haiti
T2,Thai Air Cargo,Thailand
HQ,Thomas Cook Airlines,Belgium
MT,Thomas Cook Airlines,United Kingdom
TQ,Tandem Aero,Moldova
L9,Teamline Air,Austria
UE,Transeuropean Airlines,Russia
2S,Satgur Air Transport,Liberia
ZT,Titan Airways,United Kingdom
TR,Tigerair Singapore,Singapore
TT,Tigerair Australia,Australia
IT,Tigerair Taiwan,Taiwan
DG,Cebgo,Philippines
TG,Thai Airways International,Thailand
FD,Thai AirAsia,Thailand
TK,Turkish Airlines,Turkey
T7,Twin Jet,France
9I,Thai Sky Airlines,Thailand
TD,Tulip Air,Netherlands
TL,Trans Mediterranean Airlines,Lebanon
GY,Tri-MG Intra Asia Airlines,Indonesia
OF,Transports et Travaux Aériens de Madagascar,Madagascar
3P,Tiara Air,Aruba
7T,Tobruk Air,Libya
TI,Tol-Air Services,United States
BY,Thomson Airways,United Kingdom
PM,Tropic Air,Belize
QT,TAMPA,Colombia
K3,Taquan Air Services,United States
GE,TransAsia Airways,Taiwan
TO,Transavia France,France
HV,Transavia Holland,Netherlands
VR,TACV,Cape Verde
T9,TransMeridian Airlines,United States
TH,Transmile Air Services,Malaysia
S5,Trast Aero,Kyrgyzstan
9T,Transwest Air,Canada
UN,Transaero Airlines,Russia
T9,Thai Star Airlines,Thailand
T5,Turkmenhovayollary,Turkmenistan
UG,Tuninter,Tunisia
7O[53],Travel Service,Hungary
T6,Tavrey Airlines,Ukraine
TW,T'way Air,Republic of Korea
AL,TransAVIAexport Airlines,Belarus
6B,TUIfly Nordic,Sweden
DT,TAAG Angola Airlines,Angola
SF,Tassili Airlines,Algeria
TJ,Tradewind Aviation,United States
PZ,TAM Mercosur,Paraguay
AX,Trans States Airlines,United States
1E,Travelsky Technology,China
2H,Thalys,Belgium
1L,Open Skies Consultative Commission,United States
RO,Tarom,Romania
3T,Turan Air,Azerbaijan
T4,TRIP Linhas Aéreas,Brazil
L6,Tbilaviamsheni,Georgia
XN,XpressAir,Indonesia
VO,Tyrolean Airways,Austria
TX,Transportes Aéreos Nacionales,Honduras
OR,TUI Airlines Netherlands,Netherlands
GS,Tianjin Airlines,China
TZ,Tsaradia,Madagascar
TC,Air Tanzania Company Limited,Tanzania
U5,USA3000 Airlines,United States
B7,UNI Air,Taiwan
UA,United Airlines,United States
4H,United Airways,Bangladesh
U7,USA Jet Airlines,United States
U6,Ural Airlines,Russia
QU,Uganda Airlines (1976–2001),Uganda
UR,Uganda Airlines,Uganda
UF,UM Airlines,Ukraine
6Z,Ukrainian Cargo Airways,Ukraine
5X,United Parcel Service,United States
US,US Airways,United States
BS,US-Bangla Airlines,Bangladesh
UH,US Helicopter,United States
UT,UTair Aviation,Russia
HY,Uzbekistan Airways,Uzbekistan
PS,Ukraine International Airlines,Ukraine
US,Unavia Suisse,Switzerland
JW,Vanilla Air,Japan
VB,VIVA Aerobus,Mexico
VA,Virgin Australia Airlines,Australia
VF,Valuair,Singapore
J7,ValuJet Airlines,United States
0V,Vietnam Air Services Company (VASCO),Vietnam
VC,Voyageur Airways,Canada
VN,Vietnam Airlines,Vietnam
NN,VIM Airlines,Russia
2R,Via Rail Canada,Canada
VA,Viasa,Venezuela
Y4,Volaris,Mexico
VI,Volga-Dnepr Airlines,Russia
VX,Virgin America,United States
VJ,Vietjet Air,Vietnam
V4,Vieques Air Link,United States
TV,Virgin Express,Belgium
VK,Virgin Nigeria Airways,Nigeria
VS,Virgin Atlantic Airways,United Kingdom
ZG,Viva Macau,Macao
VE,C.A.I. Second,Italy
VY,Vueling Airlines,Spain
XF,Vladivostok Air,Russia
LC,Varig Logística,Brazil
VM,Viaggio Air,Bulgaria
9V,Vipair Airlines,Kazakhstan
RG,VRG Linhas Aéreas,Brazil
VH,Viva Air Colombia,Colombia
VP,VASP,Brazil
V7,Volotea,Spain
VG,VLM Airlines,Belgium
G6,Air Volga,Russia
UK,Vistara,India
WD,WDL Aviation,Germany
WT,Wasaya Airways,Canada
WH,WebJet Linhas Aéreas,Brazil
2W,Welcome Air,Austria
WZ,West African Airlines,Benin
PT,West Air Sweden,Sweden
YH,West Caribbean Airways,Colombia
8O,West Coast Air,Canada
WS,WestJet,Canada
ST*,"Western Aircraft, Inc",United States
WA,Western Airlines,United States
WA,KLM Cityhopper,the Netherlands
W7,Western Pacific Airlines,United States
CN,Westward Airways,United States
WF,Widerøe,Norway
WL,Air Wales Virtual,United Kingdom
IV,Wind Jet,Italy
7W,Windrose Air,Germany
IW,Wings Air,Indonesia
8Z,Wizz Air Bulgaria,Bulgaria
W6,Wizz Air,Hungary
W9,Wizz Air UK,United Kingdom
WO,World Airways,United States
1P,Worldspan,United States
UI,SW Italia,Italy
WW,WOW air,Iceland
8V,Wright Air Service,United States
KW,Wataniya Airways,Kuwait
3W*,Wan Air,French Polynesia
WR,WestJet Encore,Canada
7A,Express Air Cargo,Tunisia
MF,Xiamen Airlines,China
SE,XL Airways France,France
XP,Xtra Airways,United States
YL,Yamal Airlines,Russia
R3,Yakutia Airlines,Russia
Y8,Yangtze River Express,China
Y0,Yellow Air Taxi/Friendship Airways,United States
IY,Yemenia,Yemen
YT,Yeti Airlines,Nepal
4Y,Yute Air Alaska,United States
2N,Yuzhmashavia,Ukraine
C4,Zimex Aviation,Switzerland
Q3,Zambian Airways,Zambia
3J,Zip,Canada
Z4,Zoom Airlines,Canada
